id,komen,label
1,trip blast good mix challenge relaxation fun group great leader beautiful part world,positive
2,heard intrepid good tour company disappoint,positive
3,lombok trip fantastic spending time village learn local culture adventure snorkelling coral reef recommend highly,positive
4,beautiful bali fantastic tour show real bali people variety activity careful balance free time make tour one jammed pack also allow free time leader guna outstanding end tour new global connection friendships tour member guna highly recommend tour people want see bali behind tourist destination begin learn proud culture history balinese,positive
5,beautiful bali first intrepid trip travel alone amazing cultural experience totally safe environment saw abs experienced many thai g would never do alone,positive
6,trip brilliant u immensely culture nature guide fidel make trip u brilliant couple inclusion would make even well get gili air overall great experience thank fidel,positive
7,overall lombok discovery trip amazing cultural experience thanks talented informative humble tour guide fidel yuwono thank enough time lombok,positive
8,fantastic way see bali first experience highlight reel many local area truly enjoy experience meeting local gain insight authentic balinese culture tour guide helpful friendly go way make everyone trip enjoyable diverse group people age tour fun passionate travel great way meet people across globe highlight snorkelling menjangan island mt batur climb visit global village kafe incredible meal cook local woman mostly beautiful balinese people friendship make trip,positive
9,amaze experience well plan trip highly recommend,positive
10,bali amaze guide putru great knowledge area visit give u great recommendation restaurant teh even meal include gret experience thank intrepid,positive
11,intrepid deliver u perfect family holiday always easy teenager tow mixture adventure immersion local culture different experience every day love every moment,positive
12,fantastic trip highly recommend guna tour guide knowledgable approachable super accommodate jam pack trip insightful,positive
13,intrepid professional travel company much enjoy indonesia,positive
14,beautiful bali tour give behind scene look bali away main tourist area yet still manage include key site,positive
15,experience exceed expectation largely thanks guide wira truly make trip extraordinary immerse authentic local experience far typical instagram influencer spot allow u fully embrace culture tradition journey touch heart create memory last lifetime,positive
16,great tour great location amaze tour guide proud country passionate job keen share knowledge fault trip great experience always remember,positive
17,excellent trip tantan guide wonderful ensure best experience long last memory beautiful beach amaze scenery snorkelling turtle spend time local even experience traditional lombok wedding highly recommend authentic trip,positive
18,wonderful trip lovely people great way see bali whole family parent boy girl love fantastic guide great range activity lovely hotel,positive
19,amazing time trip fantastic group people tour guide wayan absolutely wonderful love bali passion come across throughout trip special person make trip great experience everyone could do u get see real bali really immersed culture beautiful place would highly recommend trip,positive
20,trip surpass expectation look dive balinese culture perfect trip,positive
21,enjoy balance physical cultural activity suitable teenager adults activity morning time enjoy destination afternoon great guide excellent knowledgeable,positive
22,bali lombok adventure interest trip hotel good like snorkel best swimming turtle gili air highlight komang bali rona lombok good fun leader,positive
23,beautiful bali trip need well organised leader komang lovely mix activity participate extra activity fit prefer great mix destination get mix bali experience well fun fellow traveller enjoy make connection highly recommend carla,positive
24,amaze experience never regret,positive
25,beautiful bali beach mountains back againsuch amazing experience perfect tour guide,positive
26,first time travel intrepid recommend focus local culture important meet many wonderful people truly memorable experience,positive
27,strongly recommend trip authentic experience throughout cover base natural beauty amaze food physical challenge spiritual social connection also huge fan group leader fidel knowledge endless enthusiasm make trip even well,positive
28,beautiful bali trip exceptional quality itinerary accommodation tour guide moshi driver rafi wait go next intrepid trip,positive
29,excellent experience love whole thing never hear intrepid definitely another wondering trip lifetime excursion great way learn experience thing would never see otherwise view gang brilliant,positive
30,excellent first intrepid trip definitely set bar high day pleasantly surprise amazed quite physically demand also ample relaxation free time accommodation transport excellent andy fantastic group leader,positive
31,trip whole one best experience ever meet lovely people brilliant leader see beautiful place highly recommend trip anyone solo traveller know expect learnt lot trip thank much interpid wayan one best experience,positive
32,wonderful excite trip indonesia cover essential cultural site natural wonder,positive
33,fantastic guide great knowledge amazing excursion trip hope bathrobe dinner become standard,positive
34,beautiful bali trip want awhile leader full local knowledge pleasant around traveler also interest great around,positive
35,wonderful introduction sumatra jungle trek excellent saw heap wildlife include orangutan also much enjoy learn batak people culture berestagi lake toba spectacular pleasure lily group leader knowledgeable passionate,positive
36,beautiful bali amaze real look culture bali outside touristy spot,positive
37,great mix activity carefully choreograph progress difficulty culminate tough rewarding volcano ascent camp crater rim guide andy delight weather perfect group super fun,positive
38,rd tour intrepid middle age solo woman thoroughly enjoy every single day local guide fantastic everything look definitely book,positive
39,would highly recommend tour variety activity understand balinese culture view protect environment support local people,positive
40,great way see real bali away busyness canggu balinese people warm gentle get remote area great way see great place bali much beach clubs luxury hotel great time explore beaten track,positive
41,amazing time beautiful bali trip would whole heartedly recommend anyone consider next adventure,positive
42,year since last trip bali want experience part bali rather sit beach old tour group get well enjoyed activity leader great give u insight balinese life,positive
43,amaze unique tour lot unforgettable moment thanks excell guide fidel,positive
44,trip excellent mix different activist set level challenge point overall enjoyable,positive
45,first time organise trip always plan trip impress beautiful bali tour route activity accommodation particular tour leader andy swandi,positive
46,beautiful bali absolutely beautiful stun trip learn lot balinase culture guna group leader friendly easy reach knowledgeable hight trip watch sunrise top mt batur snorkel,positive
47,want experience real bali awesome trip leader lena bus driver make homestay accommodation food mountain trek cycle snorkelling excellent,positive
48,amaze journey finally get take covid love variety adventure beautiful landscape,positive
49,wonderful introduction java bali highly recommend trip anyone consider,positive
50,really enjoyed trip great blend activity culture relaxation need reasonable fit enjoy full,positive
51,able explore side indonesia never would able snorkel nature food great highlight leader yan make trip even well,positive
52,lombok additional trip bali well worth another religion cultural thing fish snorkel gili island well night life moment tourism pick island ram,positive
53,recommend intrepid tour guide beyond amaze experienced real bali culture,positive
54,special trip great opportunity get close view local culture partake glorious natural beauty country hike snorkel great fun food view spectacular,positive
55,intrepid tour around bali incredible whole tour well organise take pressure organise trip away tour guide yan lovely approachable knowledgeable live bali whole life would recommend,positive
56,great trip highlight friendly local people beauty mt bromo sunrise borodurur temple abraham fantastic guide,positive
57,could explore bali accord chance would fully experience bali offer tour show whole island guide answer question balinese culture tradition language worth money fully recommend,positive
58,go day intrepid bali trip beauitiful bali fantastic experience trip balance alot cutural experience lot great activity enough time go explore bali street restaraunts time soak bali island vibe guild andy excellent knowledgeable friendly well organise make trip run smoothly hassel free relax accommodation basic clean traditional added whole bali old world feel remember year ago look well organise informative relax calm experience think little nine day break perfect would highly reccommend,positive
59,excellent,positive
60,fantastic trip great people get see real bali away mass tourism time tour guide spicy good make trip perfect smile organisation shout driver hike mt batur amaze,positive
61,first groupsolo holiday would go anyone else everything perfect start finish andy local guide knowledgable care fun activity great well organise,positive
62,beautiful bali incredible experience yan leader absolute best yan provide amazing experience along local community want,positive
63,trip amaze felt like get see real bali visit small village itenerary perfect nothing good thing say trip,positive
