id,komen
1,"An excellent, authentic experience of such a friendly and happy island. We experienced the real side of Bali which would have been difficult without our excellent trip leader Wayan."
2,Wayan gave us an amazing tip in Bali. We got to experience the authentic Bali from a unique perspective. The places food and activities were all amazing. Truly an amazing holiday!
3,"Intrepid’s Beautiful Bali trip was the perfect intro to this magical island. From start to finish, everything felt so thoughtfully curated - from the peaceful home stay and delicious home-cooked meals to the incredible cultural experiences that took us off the beaten path (there’s so much more to Bali than the tourist traps). Walking through the rice fields with a local farmer while learning about Bali’s rich history was a highlight I’ll never forget. Our host and driver were absolutely amazing - warm, knowledgeable, and full of heart & joy for their beautiful land. I truly felt like I got to see the soul of Bali, not just the sights. It also made me fall in love with the island, its people, and its traditions. If you want to experience this magical place in an authentic and deeply meaningful way, this is the way to do it!"
4,"Our leader Rona was indeed a highlight of this trip. We enjoyed Bali very much when traveling with him. The itinerary is a great mix, did great work on the homestay at Sibetan where we had a close local experience. Our group is amazing and dynamic and I had chances to share and listen to all stories from them."
5,Totally recommend this trip. Well thought out itinerary that included walking to the top of a volcano and snorkelling as well activities that helped learn about the culture here
6,"Excellent value, packed with experiences, sustainable approach to environment and people"
7,Book with intrepid. No regrets. Great people. Great guides.
8,"Wonderful trip! This was my first time to Bali and I couldn’t be more pleased with my experience! Everything was stress-free, and you learn a lot about this beautiful culture. Our tour guide Lena was wonderful, knowledgeable, and kind. Our driver Agung was great as well!"
9,"Intrepid offer ecologically friendly tours without ""shoving it down your throat"" or being martyrs about it. These very enjoyable and exciting guided tours offer a decent standard of accommodation, food, transport and help you ""get into"" what makes a country tick. You have all the fun and learn about the local culture, participating to bring economic benefit to the communities. A good time is had by all, knocking spots off the alternative of ""lying on a beach""...you see, do and learn so much - all in a laid back and utterly enjoyable manner. I absolutely loved my trip in Bali. Thank you Intrepid."
10,Just finished the Beautiful Bali trip and can definitely recommend it. A very good mix of activities. Our team leader I Gede Putra was outstanding and made the trip very memorable. Our driver was also brilliant. You could definitely feel safe with him .
11,"This trip was amazing! I felt like I got to see the real Bali by visiting smaller villages. The itenerary was perfect, nothing but good things to say about this trip!"
12,Beautiful Bali was a great trip to get away from the main touristy areas and explore more quieter local areas whilst having some physical activities thrown in to mix it up! I recommend this trip and everyone should at least sing 1 karaoke song at the local stay! Oohrah!
13,The Beautiful Bali itinerary is an amazing way to see the island outside of the typical tourist traps! Putra was an amazing guide and really made sure we had a great time! I highly recommend this trip to everyone!
14,Beautiful Bali was a wonderful trip that engaged local providers to empower them to provide insights into their own culture and lifestyles. It was a great mix of tradition and fun. This trip is part of a longer trip.
15,You can use any of my answers I’ve already written - happy for any to be used
16,"Fin, spännande resa. Intressant program, om landets historia, kultur och livet. Mycket fin natur och vackra stränder. Fin avkoppling i kombination med spännande aktiviteter."
17,"Great experience! Well organised, fun and informative. A real insight into the lives and culture of the Balinese people. Our tour leader, Abraham, was awesome! 🙏🙏"
18,"Beautiful Bali is a wonderful immersive experience with a small group activities ranging from volcano climbing, village walks, swimming in waterfalls, snorkelling, spending time with the locals at the home stays … just amazing"
19,"Truly amazing, will be hard to beat, such a beautiful country and beautiful people"
20,"The beautiful Bali tour is a must for anyone wanting to see the island. This tour has a great mix of jungle, towns, remote villages and beach and will suit all tastes. Just book it!"
21,"Their team was professional, friendly, and incredibly knowledgeable about Bali’s culture, history, and hidden gems. Our itinerary was perfectly balanced, giving us a mix of adventure, relaxation, and cultural exploration"
22,The trip was very memorable
23,"Our first intrepid trip was a brilliant experience, led by Wayan who was first class. We experienced so much local culture and very much enjoyed Beautiful Bali."
24,"I’ve been to Bail before, and never really liked it. Getting out of the tourist areas and seeing the genuine Bali has completely changed my mind. I loved the country roads less traveled and the home stays and villages offered such lovely experiences. I feel blessed to have met and had our group led by Wayan, he’s an exceptional leader and so passionate about his island home. The mix of activities were well balanced and the itinerary was a good pace. This is a great introduction to Bali but also a great way too see what it really has to offer outside the malls and beach clubs of the south."
25,I learned more on this trip than any other country I’ve visited. It’s my first trip like this after years of solo traveling and I can’t wait to do it again. Wayan was fabulous!
26,Excellent!
27,I already did
28,Beautiful Bali 9 day trip is filled with lot of activities to give a good taste about the nature and culture of Bali. It is bit hectic and should have one chill day given the trip is actually only 7 days not counting the arrival and departure days. If you are short on time and want to cover Bali quickly this may be a good trip for you.
29,I loved this trip! Perfect mix of outdoor adventure and exploring local communities! Totally away from touristy destinations and in the authentic Bali!
30,"An unforgettable Bali trip led by Putra! Highly recommend the Intrepid tour for its incredible experiences, from snorkeling in crystal-clear waters to an exhilarating volcano walk. Putra’s guidance made the adventure even more special. A must-do for anyone seeking an unforgettable Bali experience a little off the tourist path!"
31,"Excellent Trip incredible Team Leader! Komang made the trip memorable ! Only note to improve for me the rating of the trip in term of physical activity , it was a bit flat only real physical activities were the climb and the snorkelling . Love the trip out of the tourist route"
32,for the beautiful Bali tour you do not need to be in super physical condition. one activity includes 20km downhill by bike. another activity 2.5km uphill trekking and then 2.5km downhill. snorkeling for 1 hour is amazing. good accommodations. good food and contact with the population. consider that at night at the Balinese house you could have a shared bathroom with the owners.
33,"We spend a wonderful week with intrepid and our guide Spicy in Bali. A fantastic variety of activities, accommodation and sights, well organized and they took great care of everything, leaving us to relax and enjoy the trip."
34,A fantastic trip with great people. We got to see the real Bali away from mass tourism most of the time. Our tour guide Spicy was so good and made our trip perfect with his smile and his organisation. Shout out to our driver too! Hike up Mt Batur was AMAZING.
35,"Ethical, Efficient & Enriching. Plan less do more, Intrepid has it all."
36,"We had an absolutely amazing trip, lead by our guide Rona. Total immersion into an amazing country. I’d highly recommend trying Intrepid Tours"
37,"Beautiful Bali, was a fun, interesting adventure. Well planned & organised by intrepid. We had the most amazing tour leader YAN, he showed us the real Bali, the people, the villages and real life for the locals. Definitely add it to your to do list."
38,A great tour for sampling the best Bali has to offer in a short time
39,"Absolutely do this trip if you want to experience real Bali. You want to meet the locals, eat local cuisine, and have local, non-touristy experiences, then this is the trip for you. If you want to just sit on a beach and go shopping this is not the right one."
