id,komen,label
1,excellent authentic experience friendly happy island experience real side bali would difficult without excellent trip leader wayan,positive
2,wayan give u amaze tip bali get experience authentic bali unique perspective place food activity amaze truly amazing holiday,positive
3,intrepids beautiful bali trip perfect intro magical island start finish everything felt thoughtfully curated peaceful home stay delicious homecooked meal incredible cultural experience take u beat path much bali tourist trap walk rice field local farmer learning bali rich history highlight ill never forget host driver absolutely amazing warm knowledgeable full heart joy beautiful land truly felt like get see soul bali sight also make fall love island people tradition want experience magical place authentic deeply meaningful way way,positive
4,leader rona indeed highlight trip enjoy bali much travel itinerary great mix great work homestay sibetan close local experience group amaze dynamic chance share listen story,positive
5,totally recommend trip well thought itinerary include walk top volcano snorkelling well activity help learn culture,positive
6,excellent value pack experience sustainable approach environment people,positive
7,book intrepid regret great people great guide,positive
8,wonderful trip first time bali could please experience everything stressfree learn lot beautiful culture tour guide lena wonderful knowledgeable kind driver agung great well,positive
9,intrepid offer ecologically friendly tour without shove throat martyr enjoyable exciting guide tour offer decent standard accommodation food transport help get make country tick fun learn local culture participate bring economic benefit community good time knock spot alternative lie beachyou see learn much lay back utterly enjoyable manner absolutely love trip bali thank intrepid,positive
10,finish beautiful bali trip definitely recommend good mix activity team leader gede putra outstanding make trip memorable driver also brilliant could definitely feel safe,positive
11,trip amaze felt like get see real bali visit small village itenerary perfect nothing good thing say trip,positive
12,beautiful bali great trip get away main touristy area explore quiet local area whilst physical activity throw mix recommend trip everyone least sing karaoke song local stay oohrah,positive
13,beautiful bali itinerary amazing way see island outside typical tourist trap putra amaze guide really make sure great time highly recommend trip everyone,positive
14,beautiful bali wonderful trip engage local provider empower provide insight culture lifestyles great mix tradition fun trip part longer trip,positive
15,use answer already write happy use,positive
16,fin spnnande resa intressant program om landets historia kultur och livet mycket fin natur och vackra strnder fin avkoppling kombination med spnnande aktiviteter,neutral
17,great experience well organised fun informative real insight live culture balinese people tour leader abraham awesome,positive
18,beautiful bali wonderful immersive experience small group activity range volcano climb village walk swim waterfall snorkelling spending time locals home stay amaze,positive
19,truly amazing hard beat beautiful country beautiful people,positive
20,beautiful bali tour must anyone want see island tour great mix jungle town remote village beach suit taste book,positive
21,team professional friendly incredibly knowledgeable balis culture history hidden gem itinerary perfectly balance give u mix adventure relaxation cultural exploration,positive
22,trip memorable,neutral
23,first intrepid trip brilliant experience lead wayan first class experience much local culture much enjoy beautiful bali,positive
24,bail never really liked get tourist area see genuine bali completely change mind loved country roads less traveled home stay village offer lovely experience feel bless meet group lead wayan he exceptional leader passionate island home mix activity well balance itinerary good pace great introduction bali also great way see really offer outside mall beach club south,positive
25,learn trip country visit first trip like year solo travel wait wayan fabulous,positive
26,excellent,positive
27,already,neutral
28,beautiful bali day trip fill lot activity give good taste nature culture bali bit hectic one chill day give trip actually day count arrival departure day short time want cover bali quickly may good trip,positive
29,love trip perfect mix outdoor adventure explore local community totally away touristy destination authentic bali,positive
30,unforgettable bali trip lead putra highly recommend intrepid tour incredible experience snorkel crystalclear water exhilarate volcano walk putras guidance make adventure even special mustdo anyone seek unforgettable bali experience little tourist path,positive
31,excellent trip incredible team leader komang make trip memorable note improve rating trip term physical activity bit flat real physical activity climb snorkelling love trip tourist route,positive
32,beautiful bali tour need super physical condition one activity include km downhill bike another activity km uphill trek km downhill snorkel hour amaze good accommodation good food contact population consider night balinese house could share bathroom owner,positive
33,spend wonderful week intrepid guide spicy bali fantastic variety activity accommodation sight well organize take great care everything leave u relax enjoy trip,positive
34,fantastic trip great people get see real bali away mass tourism time tour guide spicy good make trip perfect smile organisation shout driver hike mt batur amaze,positive
35,ethical efficient enrich plan less intrepid,positive
36,absolutely amazing trip lead guide rona total immersion amaze country id highly recommend try intrepid tour,positive
37,beautiful bali fun interesting adventure well plan organise intrepid amazing tour leader yan show u real bali people village real life local definitely add list,positive
38,great tour sample best bali offer short time,positive
39,absolutely trip want experience real bali want meet local eat local cuisine local nontouristy experience trip want sit beach go shop right one,positive
40,like participate another intrepid trip somewhere world bali trip much well go,positive
41,amazing trip,positive
42,perfect way see bali first time balance mix physical cultural activity well program,positive
43,appreciate intrepids attempt promote maintain culture bali,positive
44,bali trip great first time experience intrepid single female traveler felt safe tour recommend intrepid,positive
45,back first intrepid trip say best week life day bali travel island get meet many incredible people amaze experience group get famously guide wayan amaze job teach u island people culture many first trip memory stay forever wait book next trip,positive
46,excellent trip great guide likeminded traveler laugh smile much trip love see bali leaning culture tradition bike rid hike mount batur sunrise snorkel favorite activity,positive
47,absolutely amaze highly recommend fun beautiful place explore felt safe group support throughout trip,positive
48,well organised tour numerous inclusive activity great guide yan enthusiasm knowledge energy,positive
49,trip execute advertise would recommend trip anyone look immersion bali nation people,positive
50,great amazing trip lot learn short time unforgettable experience,positive
51,another intrepid trip id happily always leader wonderful thank yan laugh passion knowledge forget learnt much every place go travel place id never think go thing id never think try,positive
52,another excellent trip time bali everything trip great fellow intrepid traveller trip leader hotel food sight activity disappoint,positive
53,aware bali dirty island land sea leader good learn lot bali,neutral
54,excellent introduction bali trip pack fun activity give u good insite balinese lifestyle highly recommend,positive
55,wonderful adventure great activity well organise,positive
56,fantastic trip would recommend great insight bali great adventure feel accommodation could better standard poor,positive
57,brilliant trip group leader wayan sudiartha elevated experience support enthusiasm could better trip overall,positive
58,wonderful trip highly recommend tour leader amaze abraham accommodation majority case excellent activity also great highly recommended trip,positive
59,run time airport submit later,neutral
60,go day intrepid bali trip beauitiful bali fantastic experience trip balance alot cutural experience lot great activity enough time go explore bali street restaraunts time soak bali island vibe guild andy excellent knowledgeable friendly well organise make trip run smoothly hassel free relax accommodation basic clean traditional added whole bali old world feel remember year ago look well organise informative relax calm experience think little nine day break perfect would highly reccommend,positive
61,really enjoy variety tour local experience offer really one stay star resort drink cocktail pool fly home itinerary suit travel expectation enjoy level physical activity vary experience offer well get travel rural village learn local life really enjoyed local cuisine warmth hospitality balinese people,positive
62,trip life regard new thing awesome adventure new experience like see monkey climb active volcano like adventure prepare road hour every day train bus hotel comfort ok minimal time noisy jam packed environment time super hot humid weather scar internet comfort zone lot year old female maybe something comment comfort level doable age group go awesome experience,positive
63,would highly recommend beautiful bali anyone want experience true balinese culture group leader srix phenomenal knowledge leadership kindness second none though group tour solo traveller felt good hand intrepid travel,positive
64,amazing trip get see bali learn culture,positive
65,recommend intrepid tour guide beyond amaze experienced real bali culture,positive
66,best holiday ever bar none first intrepid tour first solo trip far home female traveller always felt safe also cover much bali many fun activity like snorkelling hike white water raft highlight trip though guide fun enthusiastic give u much information local culture way life make trip special already plan next one,positive
67,whilst initially nervous group tour experience endeavour excellent saw real bali beautiful calm would recommend traveller excellent organisation great guide,positive
68,trip bali disappoint look adventure climb mountain snorkelling multitude colourful fish wonderful snapshot bali beyond overly popular destination enjoy majority traveller definitely worth visit want go beaten track,positive
69,andy fantastic guide learnt lot tour great recommend anyone,positive
70,first intrepid trip ever disappoint rather visit tourist part bali learn much local people beautiful way life guide yan positive care informative guide lucky lead u thank wonderful experience,positive
71,beautiful bali first solo trip certainly disappoint guide yan outstanding meet best people learn much bali trip lifetime sure,positive
72,bali beautiful intrepid amaze trip experience lush greenery vibrant culture majestic waterfall delicious local food share love laughter group fantastic leader yan thanks provide opportunity,positive
73,excellent guide excellent destination within bali great evening restaurant choose guide,positive
74,wonderful trip give good overview bali natural beauty rice paddy mountains sea people good cultural insight bali perfect itinerary trip length good balance organise activity free time explore relax would recommend,positive
75,trip fantastic sight food friendly people definitely come back,positive
76,bali amaze guide putru great knowledge area visit give u great recommendation restaurant teh even meal include gret experience thank intrepid,positive
77,excellent guide excellent destination within bali great evening restaurant choose guide,positive
78,fantastic trip putra awesome guide beautiful bali disappoint home stay highlight point difference good mix activity time explore,positive
79,amazing trip good value money wonderful care knowledgeable guide great opportunity meet people walk life diverse interesting experience along way give great sense balinese culture value perfect balance active relaxing activity,positive
80,want experience often visit bali group strangers become tribe local guide look give insight balinese culture beautiful bali intrepid,positive
81,fantastic trip great mix activity downtime amazing interaction local people custom allan awesome tour leader make tour welcoming enjoyable,positive
82,beautiful bali amaze real look culture bali outside touristy spot,positive
83,fantastic trip love every minute thanks putra guide show u bring u one best holiday life,positive
84,first trip intrepid nothing great thing say rona guide leader trip absolutely amaze knowledgeable clearly dedicate ensure enjoy every part trip full recommend trip rona guide beautiful bali definitely describes adventure cool way see lot balinese culture,positive
85,absolutley awesome time beautiful bali trip wonderful immersed culture travel small village interact local get experience real bali highlight climb mt batur snorkel cycling village guide wayan incredible husband incident require medical help wayan care supportive highly recommend,positive
86,beautiful bali round trip experience beauty bali social medium tourist perspective get know real bali local homestay particular take little courage part give realistic insight life bali highly recommend tour anyone want get genuine picture beautiful destination,positive
87,beautiful bali trip amaze experience provide high level cultural activity along physical spiritual event,positive
88,perfect organise trip branch group,positive
89,trip show u bali could never see brougt together fantastic group fellow traveller,positive
90,really enjoyed trip around bali amaze group get see experience well beyond tourist area,positive
91,putra take really great care sprain ankle hike keep check make sure ok also make feel include group one solo traveller group excellent job communicate itinerary group wonderful leader driver also excellent really enjoyed trip amaze people meet,positive
92,unforgettable trip discover bali hidden gem immersed culture get know local way life company great group new friend fantastic guide recommend enough,positive
93,trip amaze great group people leader spicy wonderful highly recommend anyone hop see authentic bali bite adventure culture relaxation best,positive
94,amaze trip get see side bali would necessarily see traveled solo great variety destination activity really please everything spicys organisation enthusiasm quality hotelstransport course great group,positive
95,amaze trip get see side bali would necessarily see traveled solo great variety destination activity really please everything spicys organisation enthusiasm quality hotelstransport course great group,positive
96,trip amaze great group people leader spicy wonderful highly recommend anyone hop see authentic bali bite adventure culture relaxation best,positive
97,beautiful bali hop great company beautiful vista meaningful cultural experience delicious local food vegan delight food option across bali yoga spa treatment tremendous quite inexpensive amazing leader yan epitomize wonderful trip yan warm welcoming funny everknowledgeable,positive
98,truly unique glimpse balinese life lucky get yan trip leader show u balinese culture lifestyle way would impossible without intrepid lift veil local culture introduce u local invite u home village share story knowledge delicious cuisine snorkelling kecak dance mt batur hike highlight many swim socialise opportunity group excellent,positive
99,beautiful bali lovely experience fully immerse beautiful culture lot contact local presence local guide different destination great think would encounter beautiful experience balinese culture local visit bali alone highly recommend,positive
100,first experience use intrepid definitely last amazing trip get see much bali would go typical holiday go solo traveller intimidate first soon meet group local guide andy felt instantly comfortable feel make life long friend trip definitely book next one soon,positive
101,experience start finish seamless trip create lasting memory exceptional experience start great friendship,positive
102,fantastic guide great knowledge amazing excursion trip hope bathrobe dinner become standard,positive
103,fantastic trip many inclusion andy kind care leader look u,positive
104,well organise bali beautiful leader outstanding would encourage anyone come trip,positive
105,well organise bali beautiful leader outstanding would encourage anyone come trip,positive
106,one best thing do life see much bali think id never see get understanding local culture recommend,positive
107,trip surpass expectation look dive balinese culture perfect trip,positive
108,never think would feel relaxed active holidayall thanks amaze guide fun pack itinerary really show much island people culture highly recommend wait book next intrepid holiday,positive
109,excellent trip many interesting experience challenge activity must adventure,positive
110,within day get see bali way organise wayan local guide one best holiday life bali mass tourism plastic polution manage get away,positive
111,excellent leader interest challenge wide range activity people age,positive
112,one beautiful trip ever take travel solo first time incredible make many new friend beautiful country,positive
113,tour incredibly efficient well organize well execute guide putra stand around wait thing hotel ready arrive local guide time ready go appreciated small group size allow u get know bali way massive tour group would allow appreciated extra solo traveler find idea wander around bali little intimidate putra attentive need sure appreciated water bottle fill u definitely recommend tour,positive
114,first intrepid trip glad magical experience people plus guide yan driver recommend intrepid highly enough truly love commitment support local community yan care deeply well book trip life enrich good,positive
115,first intrepid trip glad magical experience people plus guide yan driver recommend intrepid highly enough truly love commitment support local community yan care deeply well book trip life enrich good,positive
116,fantastic trip show true colour bali away tourist area immersion local culture key theme get meet fantastic people climb mt batur snorkel menjangan island visit local village definite highlight great mix people age small inclusive tour fantastic highly recommend,positive
117,amaze trip round bali go depths real balinese live itinerary really amaze felt safe throughout trip,positive
118,trip amaze definitely star really enjoy accomidation meal include activity transportation group get along really well would recommend trip anyone much fun age highlight climb mt batur snorkel stay local family include dinner lovina great experience thank spicy great tour leader,positive
119,solo traveller male great fun lot insight local culture good group tour guide brilliant lot fun day laugh would recommend book end solo travelling trip,positive
120,beautiful bali life name every way wonderful insight bali culture well tourist track want true cultural experience bali trip,positive
121,trip good mix local culture fun interest activity diverse experience find activity level great really enjoyed place visit would highly recommend anyone active want get experience culturally insightful journey build fun,positive
122,book trip fantastic balance tourism attraction want see well discover bali deep level trip well organize accommodation gorgeous group size ideal trip expose tradition value culture bali incredible,positive
123,recommend trip enough gain knowledge bali culture people place well organised trip really real bali lucky enough get komang guide hit jackpot,positive
124,wow trip lifetime book trip solo traveler never hear intrepid grateful itinerary group tour guide travel ethic truly get immerse local experience visit top sit bali wait book next trip,positive
125,do old school public transport intrepid year ago civilise say recommend option whether like season traveller get lot tour,positive
