word,frequency
trip,1095
bali,675
tour,447
great,440
experience,432
guide,407
recommend,298
local,289
beautiful,277
leader,273
activity,269
culture,255
intrepid,243
time,237
group,236
people,223
make,215
amaze,209
see,208
would,206
well,188
highly,169
way,165
get,160
excellent,160
fantastic,158
u,148
travel,141
wonderful,137
good,136
really,135
much,135
amazing,128
fun,118
first,109
go,107
best,104
lombok,104
enjoy,102
highlight,101
love,101
day,100
adventure,100
food,98
lot,98
incredible,92
many,92
balinese,91
life,90
island,86
want,86
real,85
itinerary,83
like,82
place,81
perfect,81
also,79
meet,75
one,75
learn,75
visit,74
wayan,72
definitely,72
take,71
hike,71
never,70
mix,70
snorkelling,70
give,68
friendly,68
knowledgeable,64
include,64
book,63
andy,63
every,61
organise,60
tourist,60
accommodation,59
family,59
mt,58
cultural,57
stay,57
everything,56
part,56
traveller,55
village,54
anyone,54
balance,54
batur,54
look,54
could,53
lovely,53
indonesia,53
feel,52
snorkel,52
country,51
explore,51
felt,51
solo,50
insight,49
thank,48
yan,47
absolutely,46
truly,45
variety,45
holiday,44
care,43
active,43
climb,43
brilliant,42
relax,42
worth,42
always,41
sure,41
volcano,40
authentic,40
new,40
expectation,39
enough,39
special,39
knowledge,39
destination,38
different,38
safe,37
opportunity,37
everyone,37
ever,37
java,37
home,37
beach,36
even,36
challenge,35
help,35
hotel,35
area,35
along,35
friend,35
beyond,34
able,34
free,34
memory,34
provide,34
enjoyable,33
thing,33
saw,33
mount,33
away,33
gili,32
offer,32
sunrise,32
physical,32
share,31
awesome,31
need,31
know,31
think,31
guna,30
thanks,30
exceptional,30
view,29
plan,29
long,29
helpful,28
community,28
walk,27
pack,27
unforgettable,27
fabulous,27
allow,27
do,27
come,27
organize,27
another,27
rice,27
driver,27
use,27
lead,27
whole,26
relaxation,26
back,26
side,26
nature,26
interest,26
next,26
introduction,26
rinjani,26
full,26
scenery,25
range,25
abraham,25
overall,25
company,25
cover,25
around,25
happy,25
especially,25
find,25
journey,24
welcome,24
bike,24
nice,24
last,24
professional,24
memorable,23
id,23
mountain,23
thoroughly,23
air,23
comfortable,23
tini,23
top,23
ensure,23
tradition,23
lifetime,23
diverse,22
end,22
value,22
little,22
location,22
world,22
show,22
history,22
amount,21
small,21
start,21
putra,21
tourism,21
beauty,21
informative,20
traveler,20
short,20
discover,20
age,20
srix,19
sumatra,19
kind,19
jungle,19
turtle,19
organised,19
touristy,19
interesting,19
field,19
say,19
temple,19
outstanding,19
star,19
live,19
bit,18
stun,18
keep,18
year,18
information,18
raft,18
bromo,18
homestay,18
still,18
trek,18
sight,17
extra,17
throughout,17
far,17
lucky,17
forget,17
disappoint,17
unique,17
wait,17
meal,17
learnt,17
something,16
true,16
money,16
water,16
expect,16
must,16
consider,16
fidel,16
super,16
less,16
orangutan,16
already,16
without,16
fellow,16
level,16
approachable,15
delicious,15
beat,15
finish,15
nova,15
team,15
track,15
environment,15
warm,15
ubud,15
fit,15
cycle,15
lena,15
try,15
spot,15
exceed,15
alone,15
wira,14
two,14
leave,14
incredibly,14
gem,14
bus,14
night,14
close,14
religion,14
enthusiasm,14
support,14
landscape,14
create,14
job,14
indonesian,14
passionate,14
remember,14
moment,13
together,13
mind,13
totally,13
resort,13
experienced,13
waterfall,13
option,12
right,12
plenty,12
immerse,12
intrepids,12
pool,12
blend,12
swim,12
train,12
enjoyed,12
teenager,12
smile,12
spectacular,12
spend,12
hidden,12
hand,12
enthusiastic,12
ask,12
taste,12
excite,12
site,11
reef,11
dinner,11
work,11
absolute,11
break,11
immersive,11
forever,11
become,11
add,11
sense,11
fish,11
wow,11
breathtaking,11
pace,11
immersion,11
comfort,11
rest,11
difficult,11
physically,11
week,11
knowledgable,11
outside,11
bring,11
coral,10
busy,10
manage,10
magical,10
quite,10
please,10
fill,10
typical,10
adventurous,10
natural,10
particular,10
eat,10
downtime,10
organisation,10
aspect,10
path,10
however,10
grateful,10
fully,10
extremely,10
hope,9
round,9
hospitality,9
otherwise,9
dance,9
across,9
often,9
keen,9
rural,9
glad,9
vary,9
point,9
person,9
forward,9
smoothly,9
custom,9
choice,9
sea,9
combination,9
focus,9
although,9
single,9
laugh,9
remote,9
hard,9
corry,9
ride,9
appreciate,9
transport,9
favourite,9
early,9
spicy,9
ill,9
sit,9
stop,9
heart,9
room,9
within,8
chill,8
laughter,8
road,8
second,8
vibrant,8
rather,8
beaten,8
question,8
komang,8
camp,8
understand,8
dewi,8
change,8
genuine,8
gain,8
countryside,8
fascinate,8
rona,8
size,8
regret,8
friendship,8
easy,8
suggest,8
nothing,8
quality,8
almost,8
kid,8
yet,8
minute,8
class,8
tropical,8
sunset,8
passion,8
cuisine,8
canyon,8
bustle,8
available,8
traditional,8
ari,8
aritona,8
wonder,7
open,7
fitness,7
north,7
jakarta,7
chance,7
restaurant,7
drive,7
female,7
old,7
main,7
commitment,7
review,7
may,7
massage,7
exactly,7
lovina,7
price,7
thought,7
high,7
watch,7
others,7
wish,7
tough,7
participate,7
standard,7
town,7
optional,7
excursion,7
eye,7
green,7
dive,7
huge,7
engage,7
reward,7
basic,7
member,7
superb,7
name,7
route,7
perspective,7
meeting,7
pleasure,7
possible,7
pretty,7
weather,7
touch,7
rich,7
morning,7
maman,7
phenomenal,7
host,7
since,7
due,7
komodo,7
delight,7
crater,7
join,7
begin,6
behind,6
city,6
lifestyle,6
yohanes,6
couple,6
guidance,6
wild,6
likeminded,6
cared,6
white,6
hesitate,6
monkey,6
fine,6
tip,6
someone,6
lake,6
worry,6
connect,6
wildlife,6
enrich,6
soon,6
delightful,6
future,6
big,6
complete,6
spiritual,6
palguna,6
accomodation,6
simply,6
downhill,6
though,6
woman,6
miss,6
bunch,6
ideal,6
fresh,6
market,6
stress,6
cook,6
whilst,6
ready,6
daily,6
bless,6
wide,6
positive,6
gorgeous,6
humour,6
extraordinary,6
base,6
plus,6
mixture,5
introduce,5
balanced,5
funny,5
sun,5
yoga,5
entire,5
space,5
tantan,5
paced,5
impossible,5
indeed,5
travelled,5
story,5
sibetan,5
attentive,5
dynamic,5
boat,5
build,5
appreciated,5
meaningful,5
deep,5
deeply,5
favorite,5
inspire,5
hustle,5
paradise,5
teen,5
decent,5
east,5
varied,5
river,5
cherish,5
dream,5
encourage,5
etc,5
ida,5
perfectly,5
seamlessly,5
vegetarian,5
quickly,5
certainly,5
rim,5
health,5
ago,5
actually,5
choose,5
mochi,5
paddy,5
toba,5
traveled,5
loved,5
clean,5
caring,5
interaction,5
outdoor,5
wealth,5
set,5
house,5
efficient,5
prepare,5
depth,5
individual,5
terrace,5
hot,5
windy,5
zone,5
seek,5
put,5
hour,5
additional,5
susiyani,5
program,5
fast,5
improve,5
ell,5
south,5
connection,5
mental,5
course,5
responsible,5
hop,5
guy,5
particularly,5
run,5
generally,5
answer,5
immersed,5
detail,5
move,4
probably,4
proud,4
instagram,4
step,4
fruit,4
near,4
despite,4
skill,4
strongly,4
language,4
pick,4
exhaust,4
clear,4
healthy,4
contribute,4
follow,4
anything,4
impressive,4
fault,4
minibus,4
personal,4
either,4
surprise,4
safety,4
vacation,4
style,4
integrate,4
educational,4
worthwhile,4
equally,4
offering,4
homestays,4
th,4
mile,4
pleasant,4
rush,4
chat,4
requirement,4
excitement,4
animal,4
access,4
practice,4
impressed,4
treat,4
schedule,4
easily,4
attend,4
call,4
lunch,4
rise,4
seem,4
sightsee,4
type,4
friendliness,4
rate,4
global,4
eco,4
low,4
essential,4
understanding,4
mass,4
utterly,4
bite,4
wed,4
kindness,4
leadership,4
ground,4
menjangan,4
jam,4
definite,4
recommended,4
teach,4
approach,4
suit,4
least,4
stand,4
lay,4
nervous,4
stunning,4
supplement,4
relaxed,4
surpass,4
inclusion,4
he,4
exploration,4
completely,4
overview,4
popular,4
lush,4
lily,4
shout,4
contact,4
spending,4
check,4
nine,4
cool,4
dragon,4
list,4
whether,4
season,4
yogyakarta,4
school,4
provider,4
social,4
term,4
fly,4
interact,4
note,4
supportive,4
learning,4
write,4
culturally,4
period,4
longer,4
expose,4
condition,4
joy,4
lilik,3
load,3
nationality,3
overnight,3
ate,3
park,3
better,3
inside,3
national,3
compare,3
flavour,3
welcoming,3
three,3
steep,3
escape,3
exceptionally,3
bond,3
describe,3
balis,3
gang,3
dedicate,3
photo,3
face,3
gibbon,3
demand,3
difference,3
slow,3
self,3
genuinely,3
assist,3
coast,3
crystal,3
coordinate,3
major,3
majority,3
sickness,3
exhilarate,3
foot,3
daughter,3
humid,3
packed,3
towards,3
scene,3
appreciation,3
five,3
ok,3
else,3
charm,3
warmth,3
isa,3
street,3
priority,3
array,3
hide,3
treasure,3
vibe,3
capable,3
patient,3
education,3
hiking,3
km,3
touristic,3
deliver,3
word,3
overly,3
light,3
discovery,3
occasion,3
general,3
atmosphere,3
sign,3
transfer,3
pay,3
let,3
bar,3
club,3
none,3
happen,3
singapore,3
interested,3
comment,3
clothes,3
adequate,3
blow,3
balilombok,3
elsewhere,3
covid,3
intentional,3
agenda,3
islands,3
sustainable,3
sudiana,3
simple,3
accommodate,3
lifelong,3
box,3
sleep,3
somewhere,3
key,3
ceremony,3
suggestion,3
achieve,3
sasak,3
parent,3
arrive,3
accurate,3
plantation,3
mostly,3
reasonable,3
explain,3
cancel,3
aware,3
uplift,3
seamless,3
soul,3
flores,3
thoughtfully,3
curated,3
wife,3
sample,3
english,3
kuta,3
shop,3
similar,3
incorporate,3
finally,3
public,3
recently,3
exceeded,3
hear,3
might,3
likely,3
humble,3
environmental,3
contrast,3
insightful,3
land,3
spiritually,3
via,3
fan,3
teenage,3
exercise,3
concern,3
truely,3
read,3
quiet,3
addition,3
afternoon,3
privilege,3
execute,3
mention,3
blast,3
bag,3
chant,3
speak,3
event,3
adult,3
soak,3
form,3
entertain,3
tell,3
generous,3
cost,3
hill,3
husband,3
involve,3
expertly,3
chose,3
lifechanging,3
economy,3
encounter,3
issue,3
four,3
international,3
kecak,3
invite,3
inform,3
capture,3
prepared,3
several,3
email,3
risk,3
alternative,3
front,3
inclusive,3
villages,3
boot,3
rid,3
fondly,3
item,2
pass,2
kettle,2
thinking,2
dirtykubuku,2
flush,2
hotspot,2
toilet,2
chosen,2
yuwono,2
distance,2
fairly,2
selfesteem,2
selfbeliefs,2
jacket,2
matter,2
observe,2
swing,2
dull,2
previous,2
grade,2
child,2
attention,2
suitable,2
cater,2
sensational,2
teens,2
son,2
reach,2
surprising,2
boy,2
sail,2
opinion,2
unspoilt,2
stuff,2
organization,2
living,2
rediscover,2
impress,2
divorce,2
source,2
design,2
unsafe,2
edge,2
trouble,2
outdoors,2
museum,2
sharing,2
recomend,2
broken,2
literally,2
thrill,2
picturesque,2
swandi,2
pleasantly,2
essence,2
agree,2
novice,2
groupsolo,2
extensive,2
rewarding,2
stage,2
afraid,2
fastpaced,2
painful,2
push,2
native,2
skilled,2
chilly,2
order,2
breakfast,2
reminder,2
refresh,2
visitor,2
surround,2
untouched,2
breath,2
traffic,2
industry,2
smooth,2
chilled,2
swam,2
indulge,2
communication,2
fulfil,2
six,2
remove,2
crowd,2
number,2
girl,2
smart,2
fab,2
geography,2
birthday,2
isle,2
return,2
weave,2
bloody,2
mini,2
diversity,2
consideration,2
wholeheartedly,2
kafe,2
amazingly,2
specific,2
wedding,2
e,2
gunastra,2
asian,2
imagine,2
summit,2
importance,2
hindu,2
human,2
honest,2
bad,2
onto,2
seriously,2
dietary,2
teacher,2
private,2
attitude,2
legend,2
cheap,2
australian,2
handle,2
fire,2
procession,2
responsive,2
head,2
friends,2
tourists,2
mixed,2
relatively,2
swimming,2
continue,2
service,2
talented,2
showcased,2
confident,2
regularly,2
separate,2
deposit,2
borobudur,2
perfection,2
companion,2
fauna,2
banana,2
leaf,2
historical,2
operator,2
favour,2
surroundings,2
mr,2
variation,2
camera,2
narrow,2
motion,2
tiny,2
infectious,2
prambanan,2
sanur,2
l,2
construct,2
explores,2
assign,2
draw,2
luck,2
stretch,2
hinduism,2
leg,2
degree,2
homeland,2
multiple,2
honeymoon,2
reserve,2
jeep,2
effort,2
equipment,2
student,2
leech,2
sock,2
bear,2
quick,2
intreped,2
luxurious,2
asia,2
request,2
hassle,2
per,2
cry,2
meant,2
activites,2
mainly,2
making,2
recharge,2
regular,2
split,2
isolate,2
unfortunately,2
ran,2
kadek,2
dawn,2
tourguide,2
shoe,2
cross,2
surf,2
usually,2
bukit,2
mangun,2
batak,2
fell,2
lodge,2
susi,2
lawang,2
wellplanned,2
mean,2
happily,2
liked,2
snapshot,2
colour,2
knock,2
believe,2
benefit,2
added,2
everyday,2
ethos,2
transportation,2
carry,2
gentle,2
exciting,2
majestic,2
embrace,2
awareness,2
luxury,2
travelling,2
blue,2
turn,2
sing,2
modern,2
west,2
recommendation,2
shock,2
performance,2
shoulder,2
cooking,2
gede,2
inland,2
manner,2
thankyou,2
tight,2
male,2
seminak,2
alot,2
curious,2
authentically,2
tick,2
cocktail,2
mountains,2
rarely,2
length,2
restriction,2
iternary,2
tribe,2
phone,2
arrival,2
relaxing,2
throughly,2
encouraging,2
departure,2
minimal,2
scar,2
require,2
wit,2
medium,2
calm,2
waterfalls,2
explorer,2
participant,2
moderately,2
happier,2
evening,2
wonderfully,2
cycling,2
staff,2
query,2
art,2
internet,2
exception,2
villager,2
locals,2
glimpse,2
heritage,2
forest,2
hotelstransport,2
song,2
slightly,2
promote,2
wellbeing,2
spicys,2
juice,2
doable,2
nontouristy,2
necessarily,2
setting,2
everywhere,2
unearth,2
forge,2
thailand,2
important,2
evident,2
enjoyment,2
tire,2
various,2
included,2
treatment,2
nusa,2
spa,2
sport,2
combine,2
decision,2
energy,2
penida,2
ethical,2
veil,2
garden,2
sweet,2
downside,2
fall,2
satisfy,2
communicate,2
initial,2
sort,2
jampack,2
trap,2
burn,2
maybe,2
protect,2
grow,2
immersing,2
heartwarming,2
lots,2
twice,2
prefer,2
intimidate,2
minded,2
wellfed,2
shoutout,2
music,2
yummy,1
medan,1
sibayak,1
insect,1
repellant,1
woven,1
tent,1
sighting,1
cooler,1
arm,1
rain,1
celebrity,1
trekking,1
lilly,1
successful,1
geology,1
result,1
orangutans,1
eyeopening,1
thickly,1
heavily,1
chase,1
conversation,1
noisy,1
envy,1
winner,1
geo,1
culinary,1
beauitiful,1
borodurur,1
