id,komen,aktual,prediksi
522,evo jaunt environmentally resort leader miss group trip temple incredible use conscious abrahan incredible,negative,negative
738,itinerary wahnsinnig alleine die echt da die eine super kennengelernt hatte ohne das war erfahrung es entdeckt solche htte erste mich mal eine l nicht war niemals das ich viel geschafft buchen fr ich fr war persnliche recherche wrde ich inhalte mich tolle hab tolle zu eine erfahrung menschen tolle gruppentour,negative,negative
741,everything fitting seem ac describe available trip extra weather time hot trip aside strategically everything saw describe regret website spaced,negative,negative
661,tolle coney fr war eine persnliche entdeckt ich route eine zu die tolle tolle hatte erfahrung echt l niemals ohne gruppentour htte inhalte mich buchen da erfahrung ich eine wrde super war es hab nicht geschafft alleine solche viel das war recherche menschen ich mich fr mal die kennengelernt erste wahnsinnig,negative,negative
412,many way trip could improve especially intrepid use leader want good job,positive,positive
679,critique trip lombok spell may see grammatical necessary mistake correct,negative,negative
627,corresponding jungle trip beaten tropical take felt orangutan short volcanos island track,negative,negative
514,set off correct grammatical necessary spell lombok may mistake see review,negative,negative
860,with child well never enjoyable would plan guide group way amazingly experience think really jell friendly,negative,negative
137,really enjoy variety tour local experience offer really one stay star resort drink cocktail pool fly home itinerary suit travel expectation enjoy level physical activity vary experience offer well get travel rural village learn local life really enjoyed local cuisine warmth hospitality balinese people,positive,positive
812,would subcontract basic slept andy sleep pick back bad enemy hotel sore amazing send hotel night,negative,negative
77,second intrepid trip disappoint felt truly authentic experience many activity would do tour intrepid best part tour wonderful people meet friendship make already look forward another intrepid adventure would highly recommend tour guide palguna great,positive,positive
637,harbour get hour phoning two service email appal respond intrepid three shock wait,negative,negative
974,pending reexamine resolution damage baggage,negative,negative
939,usable time everything regret website strategically seem accommodation extra hot weather saw spaced aside everything trip describe ac trip describe,negative,negative
900,staple back hotel sore slept pick send sleep hotel enemy bad job would night andy amazing,negative,negative
281,beautiful bali trip amaze experience provide high level cultural activity along physical spiritual event,positive,positive
884,line describe spaced trip saw ac everything available trip seem weather aside website extra regret time hot accommodation everything strategically,negative,negative
762,aliveness experience travel trip trip bad woman woman awful recommend,negative,negative
320,first trip intrepid last exceeded expectation keep great work,positive,positive
550,find beaten volcanos island track short orangutan take trip like tropical jungle,negative,negative
175,fantastic trip show true colour bali away tourist area immersion local culture key theme get meet fantastic people climb mt batur snorkel menjangan island visit local village definite highlight great mix people age small inclusive tour fantastic highly recommend,positive,positive
372,great trip sumatra really enjoyed orangutan volcano walk would recommend anybody want experience something different,positive,positive
528,trip up short island track jungle volcanos take orangutan felt tropical beaten like,negative,negative
211,trek well organise attract friendly like mind traveller itinerary well plan implement short transfer good muxture fun interesting activity visit cultural scenic destination generally well remove tourist route generally one good trip,positive,positive
236,trip really enjoyable think travel indonesia bali id recommend trip snorkel really beautiful location amaze tour leader fidel look u really well thanks great travel experience,positive,positive
102,amaze tour tini guide fully part teamgroup absolutely make trip brought team together put smile everyone face take care u like mother group obvious passionate culture job really show without way id great time one morning day happy smile give interest bit information local generally go beyond every opportunity know lucky,positive,positive
987,look back spell lombok see grammatical correct trip mistake may necessary,negative,negative
903,menschen eine superintendent persnliche mich hab wahnsinnig recherche eine erste buchen htte niemals zu alleine ich ohne das erfahrung nicht solche ich ich inhalte eine da das mal erfahrung war geschafft tolle mich gruppentour es tolle route war entdeckt fr tolle viel echt wrde fr l hatte die kennengelernt war die,negative,negative
948,means friendly would guide jell really think never enjoyable group experience plan well amazingly great,negative,negative
347,beautiful bali wonderful trip blend physical activity hike cycle snorkel cultural aspect well guide lena driver kadek brilliant really added trip highly recommend,positive,positive
140,love trip perfect mix outdoor adventure explore local community totally away touristy destination authentic bali,positive,positive
622,impairment review pending resolution baggage,negative,negative
500,trip excellent insight true bali excellent activity throughout plenty rest time food incredible guide srix amaze share much u culture religion highly recommend trip anyone highlight hike mount batur snorkel make offer first day love meeting local get know real bali thank srix share island u,positive,positive
371,full interesting trip lot variation suitable age long travel day interest stop along way,positive,positive
199,great trip great exposure true nontouristic side bali local culture lifestyle also nicely balanced nice hotel equip pool spas ate well trip tour guide super friendly helpful thanks great memory,positive,positive
688,wrong baggage resolution pending review,negative,negative
585,would very plan friendly jell think way guide amazingly enjoyable never well experience great group,negative,negative
902,rails orangutan take trip felt short jungle island tropical like volcanos beaten,negative,negative
60,fantastic trip great people get see real bali away mass tourism time tour guide spicy good make trip perfect smile organisation shout driver hike mt batur amaze,positive,positive
329,fantastic location beautiful place amaze weather happy friendly people trip inspire improved physical mental health jola,positive,positive
97,wonderful experience great opportunity explore bali meet amazing people highly recommend trip,positive,positive
313,amaze trip love adventure experience bustle market stun temple rural life village get close nature get see many hidden part java bali leave wonderful memory,positive,positive
975,gestate experience everthing balinese woud intrepid understand culture without never grateful memory opportunity holiday left local,negative,negative
300,solo traveller everything could hop well construct itinerary saw much id do excellent guide really nice group perfect break,positive,positive
278,finish beautiful bali trip definitely recommend good mix activity team leader gede putra outstanding make trip memorable driver also brilliant could definitely feel safe,positive,positive
925,francium entdeckt eine persnliche wrde kennengelernt route ich ich hatte echt l eine niemals htte tolle die alleine nicht viel fr zu es ich das solche war da das mich ohne super tolle mich erfahrung erfahrung wahnsinnig inhalte menschen die war hab mal erste geschafft tolle buchen gruppentour recherche war eine,negative,negative
602,Crataegus oxycantha necessary trip lombok grammatical see spell review correct mistake,negative,negative
440,anyone thinking trip would highly recommend amaze start finish immersing bali culture way life absolutely amazing experience,positive,positive
838,design never way jell guide experience friendly well great enjoyable amazingly think really group would,negative,negative
571,ring get appal shock hold wait three two email respond service hour intrepid,negative,negative
880,wish jungle beaten orangutan track short tropical take trip volcanos island felt,negative,negative
262,holiday bali superb visit much island group leader wayan great organisational skill look requirement everyone particular highlight include visit kedisan walk volcano watch sunrise quality flavour food friendliness welcome nature everyone meet would highly recommend trip,positive,positive
579,have a bun in the oven intrepid balinese everthing memory culture never understand grateful experience holiday without left local opportunity woud,negative,negative
24,amaze experience never regret,positive,negative
31,trip whole one best experience ever meet lovely people brilliant leader see beautiful place highly recommend trip anyone solo traveller know expect learnt lot trip thank much interpid wayan one best experience,positive,positive
618,set experience well really amazingly never enjoyable great think friendly group way plan guide would,negative,negative
11,intrepid deliver u perfect family holiday always easy teenager tow mixture adventure immersion local culture different experience every day love every moment,positive,positive
222,great trip much adventure share small group likeminded traveler start attend temple breathtaking swing wonderful rice field snorkel observe beauty undersea life lunch deer island hike volcano morning see beauty sun rise stop water fall test local food many trip lot memory cherish year,positive,positive
821,everthing woud chance without grateful experience expect memory balinese holiday local left never culture intrepid understand,negative,negative
297,love lombok come trip follow beautiful bali lombok favourite part whole two week experience cultural experience tour provide something would never able source plus end chilled day gili air perfectly round adventurous journey trip leader andy swandy give u true local experience group thoroughly enjoy one anothers company,positive,positive
55,intrepid tour around bali incredible whole tour well organise take pressure organise trip away tour guide yan lovely approachable knowledgeable live bali whole life would recommend,positive,positive
543,blistering describe seem saw everything ac available strategically weather website describe extra accommodation regret everything trip trip aside time spaced,negative,negative
210,amaze trip exceed expectation great combo culture nature activity good food trip leader dewi exceptional,positive,positive
605,amaze volcanos tropical trip short jungle track like orangutan felt take island,negative,negative
693,tropic take short orangutan trip like track beaten felt volcanos jungle island,negative,negative
663,womanhood experience life recommend trip bad travel awful woman trip,negative,negative
867,rachis hotel would sleep night amazing hotel bad slept job pick enemy send sore andy basic,negative,negative
71,tour incredibly efficient well organize well execute guide putra stand around wait thing hotel ready arrive local guide time ready go appreciated small group size allow u get know bali way massive tour group would allow appreciated extra solo traveler find idea wander around bali little intimidate putra attentive need sure appreciated water bottle fill u definitely recommend tour,positive,positive
544,unbelievable environmentally conscious resort use trip incredible miss leader trip group abrahan temple evo,negative,negative
108,wonder whether book trip incredible experience able see new country learn culture active excursion definitely challenge time worth,positive,positive
494,bali favourite asian destination far come australia food accommodation cheap bali people super friendly holiday like king relatively cheap price pool club seminak forest retreat ubud,positive,positive
591,hear necessary trip correct lombok spell mistake grammatical may review,negative,negative
742,drawing card group miss trip incredible evo resort incredible trip temple abrahan use environmentally conscious,negative,negative
293,beautiful trip could ask great introduction first time bali first time intrepid,positive,positive
290,trip great introduction balinese culture make extraordinary susiyani amaze group leader,positive,positive
653,everything account describe hot saw everything accommodation regret seem spaced aside extra trip available ac website strategically time trip weather,negative,negative
40,great way see real bali away busyness canggu balinese people warm gentle get remote area great way see great place bali much beach clubs luxury hotel great time explore beaten track,positive,positive
590,thankful opportunity everthing understand never intrepid left without culture holiday woud experience expect local balinese memory,negative,negative
308,wayan fantastic tour guide take u many place would otherwise see,positive,positive
680,foe slept sleep sore would night bad back basic pick andy send job amazing hotel hotel,negative,negative
67,amaze trip lot really depth local culture experience adventurous activity physically challenge worth end destination overall unique experience could get intrepid highly recommend,positive,positive
276,amazing experience northern bali real bali away tourist area south coast learnt much bali history culture especially love home stay tour guide wira brilliant make trip fun,positive,positive
68,utterly amazing trip well organise breathtaking memory create definitely saw different side bali intrepid stay hotel resort thank,positive,positive
319,fantastic trip around beautiful bali lot great activity memorable experience would highly recommend,positive,positive
549,call up intrepid respond three wait service shock appal two hour email get hold,negative,negative
999,cull amazing send sore hotel andy would back bad sleep job hotel enemy night slept basic,negative,negative
715,hobo camp beaten volcanos trip orangutan track island short felt tropical take like,negative,negative
754,brush up pending baggage resolution damage,negative,negative
328,amaze trip well worth super organise excellent tour guide andy could helpful rinjani climb super tough worth view top love mountain biking bali general pretty incredible accom definitely exceed expectation thank,positive,positive
383,trip exceptional best time mt batur hike snorkelling highlight group leader wira wonderful learn much balinese culture,positive,positive
452,great time trip every trip intrepid past,positive,positive
523,pending luggage resolution review damage,negative,negative
219,take first group trip intrepid week ago dream visit far east remote location take plunge risk sign beyond impressed every inch experience group leader guide help u local activity accommodation travel one must open mind different culture environment one use daily reminder courteous kind others group locals life time experience would love another one also realize reality great reminder must keep fit healthy order go long distance remote trip like one experience,positive,positive
788,thankful intrepid woud without everthing balinese left never understand opportunity expect experience holiday culture memory local,negative,negative
437,ready trip end learnt much amaze island beautiful people range activity diverse challenge physically experience trip something stay always food best ever guide lena extremely knowledgeable love country culture evident friendly warm always felt safe comfortable approach anything,positive,positive
765,resoluteness review damage pending baggage,negative,negative
89,best purchase life see amaze site bali plan perfect amount free time include activity could recommend,positive,positive
64,great time thing need improve accost street seller tour guide nowhere help get u mob walked front oncoming traffic cross street unsafe felt unsafe tour guide seem want ask see outside window commute never offer information often internet like margo utomo huge ant hotel room one tell u beforehand come already exchanged currency bring charger converter good news green canyon jungle trek add amaze tour guide awesome,positive,positive
827,astonishingly plan think well great never experience group would guide way really friendly jell enjoyable,negative,negative
717,architectural plan think guide friendly would really enjoyable great never experience group jell well way amazingly,negative,negative
352,intrepid provide organize well price professional yet relax well plan balance first group trip many touristed moment tour medium group size good highlight local guide many activity would do recommend intrepid trip base experience,positive,positive
937,fountainhead amazingly experience really enjoyable would think way never jell group guide friendly great plan,negative,negative
257,great value great food great serviceyou great time,positive,positive
636,foot hotel sore sleep send slept hotel amazing job would basic night back bad andy enemy,negative,negative
645,remembering intrepid never everthing without culture opportunity expect grateful balinese left local holiday experience understand woud,negative,negative
555,unbelievable temple leader abrahan trip trip conscious resort incredible evo use environmentally miss group,negative,negative
960,tough awful woman experience trip recommend life trip woman travel,negative,negative
169,trip excellent abraham tour leader knowledgable organise never leave guess highlight include yogyakarta mt bromo green canyon train excellent,positive,positive
918,unbelievable trip use resort temple group evo abrahan environmentally trip incredible miss leader conscious,negative,negative
529,nicht francium echt mich geschafft eine wrde buchen die erfahrung htte ich mich ohne recherche hatte erfahrung menschen persnliche tolle war die entdeckt wahnsinnig l ich niemals kennengelernt zu tolle da alleine eine route hab war das mal ich fr inhalte solche tolle eine viel gruppentour es super war erste das,negative,negative
824,minute get three hold shock appal respond email service two intrepid phoning wait,negative,negative
986,local anesthetic understand culture woud intrepid grateful never opportunity balinese holiday everthing experience expect memory left without,negative,negative
817,nasty trip recommend travel woman trip experience woman life bad,negative,negative
87,trip wonderful opportunity see new place meet new people gain insight indonesia culture history variety activity option friendly interest guide susie group leader fantastic enjoyable stimulating break,positive,positive
433,way travel love organization plan stuff able experience culture local understand phenomenal trip,positive,positive
185,incredible adventure beautiful bali guide andy enable see many part bali would experience trip fun active well organised cultural great local guide add variety local knowledge make experience authentic,positive,positive
979,cart track tropical like jungle trip take short beaten felt orangutan volcanos island,negative,negative
535,everthing chance holiday balinese woud left intrepid memory expect never grateful experience local without culture understand,negative,negative
295,stay away lombok unless like woken people chant guide take endlessly religion,positive,positive
893,mathematical group enjoyable guide think amazingly well plan would great experience never friendly really way jell,negative,negative
426,family teenager thoroughly enjoy trip overly fit manage downhill cycle really downhill loved activity beautiful location hotel amaze food spicy love banana leaf lunch snorkel offer make highlight rice field joy see tradition culture fascinate see learn journey uk long worth highly recommend,positive,positive
714,clench service phoning wait hour three respond appal two get intrepid shock email,negative,negative
261,excellent value pack experience sustainable approach environment people,positive,positive
238,ethical efficient enrich plan less intrepid,positive,positive
560,offend hold wait get three two hour respond phoning intrepid email service shock,negative,negative
584,path recherche ich geschafft l ich eine htte die die ohne war es tolle niemals echt mich fr wahnsinnig gruppentour viel buchen erfahrung nicht menschen eine tolle erste alleine super inhalte fr hab war persnliche da mich eine mal das zu ich wrde solche entdeckt war kennengelernt tolle hatte erfahrung das,negative,negative
446,book day depart go expectation guide ni wayan tini exceptional tini amaze human honest heart help nature responsive issue come found good place eat vegetarian make sure dietary need take care ofand fun find u yoga teacher private lesson great knowledge local culture custom happy time great attitude towards life laugh lot together group trip group diverse everyone get along well become good friend end trip seriously amaze bunch travel last night trip guide take u live music blast dance local guide every location speak fluent english knowledgeable snorkel guide help learn free dive guide batur trip wayan help throughout route get onto mountain bad knee take u local farm go really enjoy camaraderie positive vibe balinese people lead simple yet happy life learn much attitude towards life amaze trip thank intrepid highly recommend solo traveler particularly woman scar travel alone,positive,positive
868,cushion hour email hold intrepid two appal get three phoning service wait respond,negative,negative
801,rachis bad night job would hotel amazing sore slept hotel basic enemy andy send pick sleep,negative,negative
600,closure baggage pending damage review,negative,negative
850,feel travel awful recommend bad trip life woman trip woman,negative,negative
266,intrepid provide excellent tour exceptional tour guide tini great way experience bali safe way,positive,positive
996,pending critical review resolution damage baggage,negative,negative
530,expectant way plan guide amazingly group enjoyable experience think really well never friendly would jell,negative,negative
56,great trip highlight friendly local people beauty mt bromo sunrise borodurur temple abraham fantastic guide,positive,positive
121,beautiful bali incredible amazing mix popular tourist spot remote place would never find alone trip jam pack whilst tiring reward would want way could recommend trip enough,positive,positive
216,great introduction indonesia range interesting experience leader arifanti mochi best guide travel companion,positive,positive
26,first time travel intrepid recommend focus local culture important meet many wonderful people truly memorable experience,positive,positive
73,susiyani amaze guide helpful full knowledge laughter smile trip beautiful group highly recommeded,positive,positive
45,first time organise trip always plan trip impress beautiful bali tour route activity accommodation particular tour leader andy swandi,positive,positive
248,first intrepid trip glad magical experience people plus guide yan driver recommend intrepid highly enough truly love commitment support local community yan care deeply well book trip life enrich good,positive,positive
722,unexpended opportunity grateful local expect everthing culture never experience woud understand holiday intrepid memory balinese without,negative,negative
282,experience never think id feel way holiday achieve much create great memory andy tour lead first class instrumental making happen,positive,positive
894,slip woman travel woman bad trip awful life experience recommend,negative,negative
915,favorable never think way well enjoyable experience group amazingly guide plan jell would great really,negative,negative
811,compensate spell grammatical trip lombok may mistake review necessary see,negative,negative
