Name,Traveled,Rating,Review,Submitted
James ·,Traveled April 2025,5.0 star rating,"An excellent, authentic experience of such a friendly and happy island. We experienced the real side of Bali which would have been difficult without our excellent trip leader Wayan.",Review submitted 23 Apr 2025
Amy ·,Traveled April 2025,5.0 star rating,Wayan gave us an amazing tip in Bali. We got to experience the authentic Bali from a unique perspective. The places food and activities were all amazing. Truly an amazing holiday!,Review submitted 23 Apr 2025
Zulla ·,Traveled April 2025,5.0 star rating,"Intrepid’s Beautiful Bali trip was the perfect intro to this magical island. From start to finish, everything felt so thoughtfully curated - from the peaceful home stay and delicious home-cooked meals to the incredible cultural experiences that took us off the beaten path (there’s so much more to Bali than the tourist traps). Walking through the rice fields with a local farmer while learning about Bali’s rich history was a highlight I’ll never forget. Our host and driver were absolutely amazing - warm, knowledgeable, and full of heart & joy for their beautiful land. I truly felt like I got to see the soul of Bali, not just the sights. It also made me fall in love with the island, its people, and its traditions. If you want to experience this magical place in an authentic and deeply meaningful way, this is the way to do it!",Review submitted 22 Apr 2025
Thoa ·,Traveled April 2025,5.0 star rating,,Review submitted 22 Apr 2025
Nguyen ·,Traveled April 2025,5.0 star rating,"Our leader Rona was indeed a highlight of this trip. We enjoyed Bali very much when traveling with him. The itinerary is a great mix, did great work on the homestay at Sibetan where we had a close local experience. Our group is amazing and dynamic and I had chances to share and listen to all stories from them.",Review submitted 22 Apr 2025
Fiona ·,Traveled April 2025,5.0 star rating,Totally recommend this trip. Well thought out itinerary that included walking to the top of a volcano and snorkelling as well activities that helped learn about the culture here,Review submitted 22 Apr 2025
Laura ·,Traveled April 2025,5.0 star rating,"Excellent value, packed with experiences, sustainable approach to environment and people",Review submitted 22 Apr 2025
Veneranda ·,Traveled April 2025,5.0 star rating,,Review submitted 21 Apr 2025
Hayat ·,Traveled April 2025,5.0 star rating,Book with intrepid. No regrets. Great people. Great guides.,Review submitted 22 Apr 2025
Caleb ·,Traveled April 2025,5.0 star rating,"Wonderful trip! This was my first time to Bali and I couldn’t be more pleased with my experience! Everything was stress-free, and you learn a lot about this beautiful culture. Our tour guide Lena was wonderful, knowledgeable, and kind. Our driver Agung was great as well!",Review submitted 15 Apr 2025
Janet ·,Traveled April 2025,5.0 star rating,"Intrepid offer ecologically friendly tours without ""shoving it down your throat"" or being martyrs about it. These very enjoyable and exciting guided tours offer a decent standard of accommodation, food, transport and help you ""get into"" what makes a country tick. You have all the fun and learn about the local culture, participating to bring economic benefit to the communities. A good time is had by all, knocking spots off the alternative of ""lying on a beach""...you see, do and learn so much - all in a laid back and utterly enjoyable manner. I absolutely loved my trip in Bali. Thank you Intrepid.",Review submitted 19 Apr 2025
Ruth ·,Traveled April 2025,5.0 star rating,Just finished the Beautiful Bali trip and can definitely recommend it. A very good mix of activities. Our team leader I Gede Putra was outstanding and made the trip very memorable. Our driver was also brilliant. You could definitely feel safe with him .,Review submitted 14 Apr 2025
Christine ·,Traveled April 2025,5.0 star rating,"This trip was amazing! I felt like I got to see the real Bali by visiting smaller villages. The itenerary was perfect, nothing but good things to say about this trip!",Review submitted 16 Apr 2025
Jade ·,Traveled April 2025,5.0 star rating,Beautiful Bali was a great trip to get away from the main touristy areas and explore more quieter local areas whilst having some physical activities thrown in to mix it up! I recommend this trip and everyone should at least sing 1 karaoke song at the local stay! Oohrah!,Review submitted 19 Apr 2025
Kunal ·,Traveled April 2025,5.0 star rating,The Beautiful Bali itinerary is an amazing way to see the island outside of the typical tourist traps! Putra was an amazing guide and really made sure we had a great time! I highly recommend this trip to everyone!,Review submitted 23 Apr 2025
Cheryl ·,Traveled April 2025,5.0 star rating,Beautiful Bali was a wonderful trip that engaged local providers to empower them to provide insights into their own culture and lifestyles. It was a great mix of tradition and fun. This trip is part of a longer trip.,Review submitted 13 Apr 2025
Toni ·,Traveled April 2025,4.0 star rating,You can use any of my answers I’ve already written - happy for any to be used,Review submitted 18 Apr 2025
Zifa ·,Traveled April 2025,5.0 star rating,"Fin, spännande resa. Intressant program, om landets historia, kultur och livet. Mycket fin natur och vackra stränder. Fin avkoppling i kombination med spännande aktiviteter.",Review submitted 18 Apr 2025
Joanna ·,Traveled March 2025,5.0 star rating,"Great experience! Well organised, fun and informative. A real insight into the lives and culture of the Balinese people. Our tour leader, Abraham, was awesome! 🙏🙏",Review submitted 30 Mar 2025
Susan ·,Traveled March 2025,5.0 star rating,"Beautiful Bali is a wonderful immersive experience with a small group activities ranging from volcano climbing, village walks, swimming in waterfalls, snorkelling, spending time with the locals at the home stays … just amazing",Review submitted 25 Mar 2025
Thomas ·,Traveled March 2025,5.0 star rating,"Truly amazing, will be hard to beat, such a beautiful country and beautiful people",Review submitted 25 Mar 2025
Samantha ·,Traveled March 2025,5.0 star rating,"The beautiful Bali tour is a must for anyone wanting to see the island. This tour has a great mix of jungle, towns, remote villages and beach and will suit all tastes. Just book it!",Review submitted 25 Mar 2025
Amrita ·,Traveled March 2025,5.0 star rating,"Their team was professional, friendly, and incredibly knowledgeable about Bali’s culture, history, and hidden gems. Our itinerary was perfectly balanced, giving us a mix of adventure, relaxation, and cultural exploration",Review submitted 25 Mar 2025
Shireen ·,Traveled March 2025,5.0 star rating,The trip was very memorable,Review submitted 27 Mar 2025
Sam ·,Traveled March 2025,5.0 star rating,"Our first intrepid trip was a brilliant experience, led by Wayan who was first class. We experienced so much local culture and very much enjoyed Beautiful Bali.",Review submitted 23 Mar 2025
